#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 05 01 50 999  7.2 10.4  1.44  6.67  4.71  61 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 02 50 999  8.3 10.9  1.43  5.00  4.69  28 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 03 50 999  8.4 11.1  1.46  5.26  4.74 360 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 04 50 999  7.9 11.0  1.55  5.56  4.85  17 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 05 50 999  8.5 11.3  1.48  5.56  4.89  18 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 06 50 999  7.9 10.2  1.31  5.88  4.67   5 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 07 50 999  5.5  7.6  1.29  5.88  4.94  16 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 08 50 999  5.7  7.6  1.17  5.88  4.67  18 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 09 50 999  6.0  8.0  1.24  5.56  4.89  20 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 10 50 999  6.1  7.7  1.11  5.88  4.68  28 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 11 50 999  6.7  7.8  1.15  6.67  4.82  53 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 12 50 999  7.8 10.0  1.20  7.14  4.81  63 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 13 50 999  5.7  8.0  1.18  7.14  4.78  61 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 14 50 999  3.8  5.3  1.05  7.14  4.82  59 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 15 50 999  5.1  6.8  1.10  7.14  4.94  64 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 16 50 999  6.3  7.7  1.18  7.14  5.11  58 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 17 50 999  6.8  8.5  1.22  7.14  5.20  70 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 18 50 999  5.8  7.3  1.15  6.67  5.01  56 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 19 50 999  7.2  9.0  1.19  7.14  5.14  66 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 20 50 999  6.7  8.4  1.24  6.67  5.10  61 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 21 50 999  7.1  8.9  1.26  6.67  5.09  60 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 22 50 999  7.1  8.8  1.18  6.25  4.77  29 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 23 50 999  6.9  8.7  1.32  6.25  5.03  34 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 00 50 999  9.5 11.5  1.29  6.67  4.86  37 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 01 50 999  7.5  9.6  1.39  6.25  4.90  29 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 02 50 999  8.3  9.9  1.41  6.67  4.73  31 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 03 50 999  7.3  8.5  1.41  7.14  4.81  44 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 04 50 999  7.9  9.3  1.36  6.25  4.78  43 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 05 50 999  7.7  9.2  1.36  7.69  4.82  54 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 06 50 999  6.5  8.1  1.21  7.14  4.77  61 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 07 50 999  6.0  6.8  1.35  7.14  5.11  49 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 08 50 999  5.7  7.3  1.23  7.14  4.91  57 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 09 50 999  6.0  7.2  1.25  7.14  5.00  53 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 10 50 999  5.4  6.6  1.14  7.69  4.96  56 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 11 50 999  5.7  7.2  1.20  7.69  5.03  57 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 13 50 999  6.0  7.2  1.09  6.67  4.93  49 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 14 50 999  6.2  7.6  1.07  7.14  4.99  54 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 15 50 999  6.7  7.5  1.03  7.69  4.98  55 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 16 50 999  6.8  8.1  1.06  7.69  4.83  45 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 17 50 999  6.2  7.6  1.12  7.14  4.98  47 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 18 50 999  7.1  8.5  1.07  7.14  4.87  44 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 19 50 999  6.6  7.8  1.06  6.67  4.68  46 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 20 50 999  7.6  9.2  1.03  7.14  4.68  42 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 21 50 999  7.8  8.9  1.10  7.69  4.77  37 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 22 50 999  7.6  8.8  1.10  7.14  4.57  40 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 23 50 999  8.2  9.6  1.17  7.14  4.52  58 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 07 00 50 999  8.5 10.2  1.30  7.14  4.69  58 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 07 01 50 999  9.1 10.9  1.32  9.09  4.86  38 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 07 02 50 999 11.1 13.5  1.56  7.69  5.08  65 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 07 03 50 999 10.7 13.0  1.81  9.09  5.16  51 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 07 04 50 999  9.1 11.1  1.82  5.26  5.22 121 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 07 05 50 999  7.1  9.2  1.79  5.26  5.26 120 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 07 06 50 999  6.3  7.7  1.80  6.25  5.65  98 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 07 07 50 999  7.7  8.9  1.83  8.33  5.92  50 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 07 08 50 999  5.8  7.2  1.72  8.33  6.00  54 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 07 09 50 999  6.4  8.1  1.85  9.09  6.17  68 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 07 10 50 999  6.1  7.4  1.99  9.09  6.28  69 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 07 11 50 999  7.7  9.3  2.11 11.43  6.46  77 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 07 12 50 999  7.3  8.8  2.22  9.09  6.44  79 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 07 13 50 999  7.6  9.2  2.25  9.09  6.51  70 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 07 14 50 999  5.6  6.7  2.37 10.00  6.65  83 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 07 15 50 999  3.9  5.3  2.39 10.81  6.91  95 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 07 16 50 999  4.5  5.6  2.21 10.00  6.70  82 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 07 17 50 999  4.3  5.5  2.24  9.09  6.77  77 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 07 18 50 999  1.3  2.2  2.21 10.00  6.88  85 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 07 19 50 999  0.2  0.9  2.07  6.67  6.59 103 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 07 20 50 999  1.0  1.6  2.12 10.00  6.71  76 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 07 21 50 999  1.6  2.7  2.18 10.00  6.68  73 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 07 22 50 999  4.0  4.9  1.91 10.00  6.57  73 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 07 23 50 999  4.4  5.5  1.95 10.00  6.41  73 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 08 00 50 999  2.9  4.3  1.96 10.00  6.65  70 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 08 01 50 999  3.2  4.0  1.67  8.33  6.18  61 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 08 02 50 999  4.2  4.9  1.60  8.33  6.19  68 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 08 03 50 999  4.1  5.0  1.73  9.09  6.27  84 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 08 04 50 999  4.4  5.2  1.67  9.09  6.36  79 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 08 05 50 999  3.7  4.5  1.60  9.09  6.34  79 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 08 06 50 999  4.7  5.9  1.41  9.09  6.05  81 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 08 07 50 999  4.0  4.9  1.47  9.09  6.08  92 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 08 08 50 999  5.2  6.4  1.24  8.33  5.71  74 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 08 09 50 999  4.9  5.8  1.37  8.33  6.00  82 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 08 10 50 999  5.3  6.4  1.30  8.33  5.71  76 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 08 11 50 999  4.9  5.8  1.25  7.69  5.61  82 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 08 12 50 999  5.6  6.5  1.33  8.33  5.95  82 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 08 13 50 999  5.9  6.9  1.27  8.33  5.61  83 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 08 14 50 999  5.5  6.1  1.19  8.33  5.53  69 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 08 15 50 999  5.8  6.7  1.18  7.69  5.32  76 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 08 16 50 999  6.3  7.5  1.26  7.69  5.53  81 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 08 17 50 999  6.6  7.8  1.23  7.69  5.32  87 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 08 18 50 999  7.8  9.4  1.22  7.69  5.17  92 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 08 19 50 999  7.5  9.1  1.13  7.69  4.90  82 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 08 20 50 999  8.5 10.0  1.20  7.69  4.92  79 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 08 21 50 999  8.2 10.0  1.17  7.69  4.79  84 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 08 22 50 999  9.1 10.4  1.27  7.14  4.62  82 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 08 23 50 999  9.3 10.9  1.39  4.76  4.68 136 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 09 00 50 999  9.4 10.9  1.40  5.56  4.73 134 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 09 01 50 999  9.4 11.0  1.50  5.26  4.76 140 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 09 02 50 999 10.4 12.8  1.40  5.26  4.65 141 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 09 03 50 999  9.9 11.7  1.60  5.26  4.76 139 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 09 04 50 999  9.8 11.7  1.62  5.88  4.69 124 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 09 05 50 999  8.9 10.6  1.59  5.56  4.85 160 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 09 06 50 999  7.7  9.1  1.53  6.25  4.77 130 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 09 07 50 999  6.0  7.5  1.51  5.88  4.95 144 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 09 08 50 999  7.5  8.8  1.55  5.88  5.10 138 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 09 09 50 999  8.9 10.9  1.60  6.67  5.14 122 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 09 10 50 999  8.7 10.0  1.51  6.67  4.91 120 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 09 11 50 999  9.2 10.7  1.54  6.67  4.96 124 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 09 12 50 999 14.0 16.3  1.52  6.67  4.57 125 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 09 13 50 999 14.6 16.7  1.73  4.17  4.38 312 9999.0 999.0 999.0 999.0 99.0 99.00
